2021-04-23 11:06:27,210  INFO | main | it.vinicioflamini.omt.order.OrderServiceApplication    | Starting OrderServiceApplication on DESKTOP-VOMVIUL with PID 5304 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\order-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\order-service) 
2021-04-23 12:02:37,157  INFO | http-nio-8891-exec-5 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:02:39,346  INFO | http-nio-8891-exec-6 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:02:39,346  INFO | http-nio-8891-exec-6 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:03:10,534  INFO | http-nio-8891-exec-7 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:03:10,534  INFO | http-nio-8891-exec-7 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:03:22,097  INFO | http-nio-8891-exec-8 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:03:22,097  INFO | http-nio-8891-exec-8 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:03:23,063  INFO | http-nio-8891-exec-9 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:03:23,063  INFO | http-nio-8891-exec-9 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:03:24,736  INFO | http-nio-8891-exec-10 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:03:24,736  INFO | http-nio-8891-exec-10 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:03:25,382  INFO | http-nio-8891-exec-2 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:03:25,382  INFO | http-nio-8891-exec-2 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:04:50,529  INFO | http-nio-8891-exec-4 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:04:50,529  INFO | http-nio-8891-exec-4 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:04:52,787  INFO | http-nio-8891-exec-5 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:04:52,787  INFO | http-nio-8891-exec-5 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:04:54,125  INFO | http-nio-8891-exec-6 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:04:54,126  INFO | http-nio-8891-exec-6 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:04:55,083  INFO | http-nio-8891-exec-7 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:04:55,083  INFO | http-nio-8891-exec-7 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:04:55,940  INFO | http-nio-8891-exec-8 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:04:55,940  INFO | http-nio-8891-exec-8 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:05:23,129  INFO | http-nio-8891-exec-9 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:05:23,129  INFO | http-nio-8891-exec-9 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:05:24,956  INFO | http-nio-8891-exec-10 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:05:24,956  INFO | http-nio-8891-exec-10 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:05:26,060  INFO | http-nio-8891-exec-2 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:05:26,060  INFO | http-nio-8891-exec-2 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:05:27,163  INFO | http-nio-8891-exec-1 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:05:27,163  INFO | http-nio-8891-exec-1 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:05:28,417  INFO | http-nio-8891-exec-3 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:05:28,417  INFO | http-nio-8891-exec-3 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:05:31,665  INFO | http-nio-8891-exec-4 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:05:31,665  INFO | http-nio-8891-exec-4 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:05:48,527  INFO | http-nio-8891-exec-5 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:05:48,527  INFO | http-nio-8891-exec-5 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:05:49,381  INFO | http-nio-8891-exec-6 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:05:49,381  INFO | http-nio-8891-exec-6 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:20:46,849  INFO | main | it.vinicioflamini.omt.order.OrderServiceApplication    | Starting OrderServiceApplication on DESKTOP-VOMVIUL with PID 11552 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\order-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\order-service) 
2021-04-23 12:20:46,850 DEBUG | main | it.vinicioflamini.omt.order.OrderServiceApplication    | Running with Spring Boot v2.1.10.RELEASE, Spring v5.1.11.RELEASE 
2021-04-23 12:20:46,850  INFO | main | it.vinicioflamini.omt.order.OrderServiceApplication    | The following profiles are active: dev 
2021-04-23 12:20:50,561  INFO | main | it.vinicioflamini.omt.order.OrderServiceApplication    | Started OrderServiceApplication in 4.292 seconds (JVM running for 5.21) 
2021-04-23 12:21:46,107  INFO | http-nio-8891-exec-2 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:21:46,107  INFO | http-nio-8891-exec-2 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:21:48,842  INFO | http-nio-8891-exec-3 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 placed successfully 
2021-04-23 12:21:48,842  INFO | http-nio-8891-exec-3 | it.vinicioflamini.omt.order.service.OrderService       | Going to send an "OrderPlacedEvent" for order 234 
2021-04-23 12:23:56,231  INFO | http-nio-8891-exec-5 | it.vinicioflamini.omt.order.service.OrderService       | Order 234 was not processed 
