2021-04-23 10:32:10,792  INFO | main | i.v.omt.inventory.InventoryServiceApplication          | Starting InventoryServiceApplication on DESKTOP-VOMVIUL with PID 8180 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\inventory-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\inventory-service) 
2021-04-23 13:30:55,472  INFO | http-nio-8894-exec-5 | i.vinicioflamini.omt.inventory.service.InventoryService | Item is out of stock for order 234 
2021-04-23 13:30:55,472  INFO | http-nio-8894-exec-5 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
2021-04-23 13:30:56,803  INFO | http-nio-8894-exec-8 | i.vinicioflamini.omt.inventory.service.InventoryService | Item is out of stock for order 234 
2021-04-23 13:30:56,803  INFO | http-nio-8894-exec-8 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
2021-04-23 13:31:12,002  INFO | http-nio-8894-exec-9 | i.vinicioflamini.omt.inventory.service.InventoryService | Item is out of stock for order 234 
2021-04-23 13:31:12,003  INFO | http-nio-8894-exec-9 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
2021-04-23 13:31:20,199  INFO | http-nio-8894-exec-1 | i.vinicioflamini.omt.inventory.service.InventoryService | Item is out of stock for order 234 
2021-04-23 13:31:20,199  INFO | http-nio-8894-exec-1 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
2021-04-23 13:31:24,059  INFO | http-nio-8894-exec-2 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:31:24,059  INFO | http-nio-8894-exec-2 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:31:48,824  INFO | http-nio-8894-exec-4 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:31:48,825  INFO | http-nio-8894-exec-4 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:33:26,719  INFO | http-nio-8894-exec-5 | i.vinicioflamini.omt.inventory.service.InventoryService | Item is out of stock for order 234 
2021-04-23 13:33:26,719  INFO | http-nio-8894-exec-5 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
2021-04-23 13:33:43,415  INFO | http-nio-8894-exec-7 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:33:43,415  INFO | http-nio-8894-exec-7 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:35:46,360  INFO | http-nio-8894-exec-10 | i.vinicioflamini.omt.inventory.service.InventoryService | Item is out of stock for order 234 
2021-04-23 13:35:46,360  INFO | http-nio-8894-exec-10 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
2021-04-23 13:35:52,852  INFO | http-nio-8894-exec-2 | i.vinicioflamini.omt.inventory.service.InventoryService | Item is out of stock for order 234 
2021-04-23 13:35:52,852  INFO | http-nio-8894-exec-2 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
2021-04-23 13:35:57,111  INFO | http-nio-8894-exec-3 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:35:57,111  INFO | http-nio-8894-exec-3 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:36:17,736  INFO | http-nio-8894-exec-6 | i.vinicioflamini.omt.inventory.service.InventoryService | Order 234 was not processed 
2021-04-23 13:36:17,736  INFO | http-nio-8894-exec-6 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
2021-04-23 13:36:31,804  INFO | http-nio-8894-exec-8 | i.vinicioflamini.omt.inventory.service.InventoryService | Order 234 was not processed 
2021-04-23 13:36:31,804  INFO | http-nio-8894-exec-8 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
2021-04-23 13:36:40,171  INFO | http-nio-8894-exec-9 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:36:40,172  INFO | http-nio-8894-exec-9 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:36:58,504  INFO | http-nio-8894-exec-1 | i.vinicioflamini.omt.inventory.service.InventoryService | Order 234 was not processed 
2021-04-23 13:36:58,504  INFO | http-nio-8894-exec-1 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
2021-04-23 13:37:20,754  INFO | http-nio-8894-exec-3 | i.vinicioflamini.omt.inventory.service.InventoryService | Order 234 was not processed 
2021-04-23 13:37:20,754  INFO | http-nio-8894-exec-3 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
2021-04-23 13:37:26,891  INFO | http-nio-8894-exec-6 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:37:26,891  INFO | http-nio-8894-exec-6 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:38:23,122  INFO | http-nio-8894-exec-8 | i.vinicioflamini.omt.inventory.service.InventoryService | Order 234 was not processed 
2021-04-23 13:38:23,122  INFO | http-nio-8894-exec-8 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
2021-04-23 13:39:23,433  INFO | http-nio-8894-exec-9 | i.vinicioflamini.omt.inventory.service.InventoryService | Order 234 was not processed 
2021-04-23 13:39:23,433  INFO | http-nio-8894-exec-9 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
2021-04-23 13:39:29,275  INFO | http-nio-8894-exec-1 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:39:29,275  INFO | http-nio-8894-exec-1 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:39:34,975  INFO | http-nio-8894-exec-3 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:39:34,975  INFO | http-nio-8894-exec-3 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:42:13,692  INFO | http-nio-8894-exec-6 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:42:13,692  INFO | http-nio-8894-exec-6 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:42:15,957  INFO | http-nio-8894-exec-5 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:42:15,957  INFO | http-nio-8894-exec-5 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:42:20,973  INFO | http-nio-8894-exec-8 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:42:20,974  INFO | http-nio-8894-exec-8 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:42:21,941  INFO | http-nio-8894-exec-7 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:42:21,941  INFO | http-nio-8894-exec-7 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:42:22,677  INFO | http-nio-8894-exec-9 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:42:22,677  INFO | http-nio-8894-exec-9 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:42:23,376  INFO | http-nio-8894-exec-10 | i.vinicioflamini.omt.inventory.service.InventoryService | Item is out of stock for order 234 
2021-04-23 13:42:23,376  INFO | http-nio-8894-exec-10 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
2021-04-23 13:42:24,112  INFO | http-nio-8894-exec-1 | i.vinicioflamini.omt.inventory.service.InventoryService | Item is out of stock for order 234 
2021-04-23 13:42:24,112  INFO | http-nio-8894-exec-1 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
2021-04-23 13:42:24,921  INFO | http-nio-8894-exec-2 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:42:24,921  INFO | http-nio-8894-exec-2 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:42:26,278  INFO | http-nio-8894-exec-3 | i.vinicioflamini.omt.inventory.service.InventoryService | Item is out of stock for order 234 
2021-04-23 13:42:26,278  INFO | http-nio-8894-exec-3 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
2021-04-23 13:42:27,474  INFO | http-nio-8894-exec-4 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:42:27,474  INFO | http-nio-8894-exec-4 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:42:28,085  INFO | http-nio-8894-exec-6 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:42:28,085  INFO | http-nio-8894-exec-6 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:42:28,698  INFO | http-nio-8894-exec-5 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:42:28,698  INFO | http-nio-8894-exec-5 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:42:29,649  INFO | http-nio-8894-exec-8 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:42:29,649  INFO | http-nio-8894-exec-8 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:42:30,818  INFO | http-nio-8894-exec-7 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:42:30,818  INFO | http-nio-8894-exec-7 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:42:31,680  INFO | http-nio-8894-exec-9 | i.vinicioflamini.omt.inventory.service.InventoryService | Item is out of stock for order 234 
2021-04-23 13:42:31,680  INFO | http-nio-8894-exec-9 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
