2021-04-23 11:05:37,515  INFO | main | i.v.omt.notification.NotificationServiceApplication    | Starting NotificationServiceApplication on DESKTOP-VOMVIUL with PID 12044 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\notification-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\notification-service) 
2021-04-23 11:53:22,258  INFO | main | i.v.omt.notification.NotificationServiceApplication    | The following profiles are active: dev 
2021-04-23 11:53:26,281  INFO | main | i.v.omt.notification.NotificationServiceApplication    | Started NotificationServiceApplication in 4.602 seconds (JVM running for 5.52) 
2021-04-23 13:45:37,561  INFO | main | i.v.omt.notification.NotificationServiceApplication    | Starting NotificationServiceApplication on DESKTOP-VOMVIUL with PID 8000 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\notification-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\notification-service) 
2021-04-23 13:45:37,561 DEBUG | main | i.v.omt.notification.NotificationServiceApplication    | Running with Spring Boot v2.1.10.RELEASE, Spring v5.1.11.RELEASE 
2021-04-23 13:45:37,561  INFO | main | i.v.omt.notification.NotificationServiceApplication    | The following profiles are active: dev 
2021-04-23 13:45:42,276  INFO | main | i.v.omt.notification.NotificationServiceApplication    | Started NotificationServiceApplication in 5.309 seconds (JVM running for 6.396) 
2021-04-23 13:46:30,556  INFO | [Ljava.lang.String;@9c4d1c.container-0-C-1 | i.v.omt.notification.listener.GoodsShippedEventListener | Received a" GoodsShippedEvent" for order id: 234 
2021-04-23 13:46:30,556  INFO | [Ljava.lang.String;@9c4d1c.container-0-C-1 | i.v.omt.notification.listener.GoodsShippedEventListener | Going to notify user for shippment id 1234 reached 
2021-04-23 13:46:30,570  INFO | [Ljava.lang.String;@9c4d1c.container-0-C-1 | i.v.omt.notification.listener.GoodsShippedEventListener | Received a" GoodsShippedEvent" for order id: 234 
2021-04-23 13:46:30,570  INFO | [Ljava.lang.String;@9c4d1c.container-0-C-1 | i.v.omt.notification.listener.GoodsShippedEventListener | Going to notify user for shippment id 1234 reached 
2021-04-23 13:46:30,571  INFO | [Ljava.lang.String;@9c4d1c.container-0-C-1 | i.v.omt.notification.listener.GoodsShippedEventListener | Received a" GoodsShippedEvent" for order id: 234 
2021-04-23 13:46:30,571  INFO | [Ljava.lang.String;@9c4d1c.container-0-C-1 | i.v.omt.notification.listener.GoodsShippedEventListener | Going to notify user for shippment id 1234 reached 
2021-04-23 13:46:30,571  INFO | [Ljava.lang.String;@9c4d1c.container-0-C-1 | i.v.omt.notification.listener.GoodsShippedEventListener | Received a" GoodsShippedEvent" for order id: 234 
2021-04-23 13:46:30,571  INFO | [Ljava.lang.String;@9c4d1c.container-0-C-1 | i.v.omt.notification.listener.GoodsShippedEventListener | Going to notify user for shippment id 1234 reached 
2021-04-23 13:46:30,573  INFO | [Ljava.lang.String;@9c4d1c.container-0-C-1 | i.v.omt.notification.listener.GoodsShippedEventListener | Received a" GoodsShippedEvent" for order id: 234 
2021-04-23 13:46:30,573  INFO | [Ljava.lang.String;@9c4d1c.container-0-C-1 | i.v.omt.notification.listener.GoodsShippedEventListener | Going to notify user for shippment id 1234 reached 
2021-04-23 13:46:30,574  INFO | [Ljava.lang.String;@9c4d1c.container-0-C-1 | i.v.omt.notification.listener.GoodsShippedEventListener | Received a" GoodsShippedEvent" for order id: 234 
2021-04-23 13:46:30,574  INFO | [Ljava.lang.String;@9c4d1c.container-0-C-1 | i.v.omt.notification.listener.GoodsShippedEventListener | Going to notify user for shippment id 1234 reached 
2021-04-23 13:46:30,588  INFO | [Ljava.lang.String;@9c4d1c.container-0-C-1 | i.v.omt.notification.listener.GoodsShippedEventListener | Received a" GoodsShippedEvent" for order id: 234 
2021-04-23 13:46:30,588  INFO | [Ljava.lang.String;@9c4d1c.container-0-C-1 | i.v.omt.notification.listener.GoodsShippedEventListener | Going to notify user for shippment id 1234 reached 
2021-04-23 13:46:30,610  INFO | [Ljava.lang.String;@9c4d1c.container-0-C-1 | i.v.omt.notification.listener.GoodsShippedEventListener | Received a" GoodsShippedEvent" for order id: 234 
2021-04-23 13:46:30,610  INFO | [Ljava.lang.String;@9c4d1c.container-0-C-1 | i.v.omt.notification.listener.GoodsShippedEventListener | Going to notify user for shippment id 1234 reached 
2021-04-23 13:46:30,631  INFO | [Ljava.lang.String;@9c4d1c.container-0-C-1 | i.v.omt.notification.listener.GoodsShippedEventListener | Received a" GoodsShippedEvent" for order id: 234 
2021-04-23 13:46:30,631  INFO | [Ljava.lang.String;@9c4d1c.container-0-C-1 | i.v.omt.notification.listener.GoodsShippedEventListener | Going to notify user for shippment id 1234 reached 
2021-04-23 13:46:30,711  INFO | [Ljava.lang.String;@9c4d1c.container-0-C-1 | i.v.omt.notification.listener.GoodsShippedEventListener | Received a" GoodsShippedEvent" for order id: 234 
2021-04-23 13:46:30,711  INFO | [Ljava.lang.String;@9c4d1c.container-0-C-1 | i.v.omt.notification.listener.GoodsShippedEventListener | Going to notify user for shippment id 1234 reached 
2021-04-23 13:46:53,565  INFO | [Ljava.lang.String;@12e4bde.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 13:46:53,565  INFO | [Ljava.lang.String;@12e4bde.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 13:47:15,760  INFO | [Ljava.lang.String;@12e4bde.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 13:47:15,760  INFO | [Ljava.lang.String;@12e4bde.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 13:47:25,448  INFO | [Ljava.lang.String;@12e4bde.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 13:47:25,448  INFO | [Ljava.lang.String;@12e4bde.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 13:47:40,128  INFO | [Ljava.lang.String;@12e4bde.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 13:47:40,128  INFO | [Ljava.lang.String;@12e4bde.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 13:47:46,915  INFO | [Ljava.lang.String;@12e4bde.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 13:47:46,916  INFO | [Ljava.lang.String;@12e4bde.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 13:47:56,356  INFO | [Ljava.lang.String;@12e4bde.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 13:47:56,356  INFO | [Ljava.lang.String;@12e4bde.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 13:48:00,711  INFO | [Ljava.lang.String;@12e4bde.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 13:48:00,711  INFO | [Ljava.lang.String;@12e4bde.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 13:48:16,888  INFO | [Ljava.lang.String;@12e4bde.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Received an "OrderPlacedEvent" for order id: 234 
2021-04-23 13:48:19,268  INFO | [Ljava.lang.String;@12e4bde.container-0-C-1 | i.v.omt.notification.listener.OrderEventListener       | Going to notify user that order place with id 234 was processed 
2021-04-23 14:15:35,147  INFO | main | i.v.omt.notification.NotificationServiceApplication    | Starting NotificationServiceApplication on DESKTOP-VOMVIUL with PID 5588 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\notification-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\notification-service) 
2021-04-23 14:15:35,148 DEBUG | main | i.v.omt.notification.NotificationServiceApplication    | Running with Spring Boot v2.1.10.RELEASE, Spring v5.1.11.RELEASE 
2021-04-23 14:15:35,148  INFO | main | i.v.omt.notification.NotificationServiceApplication    | The following profiles are active: dev 
